id,encoded_text,decoded_meaning,token_length,padding_length,label,harm_index,sample_weight,category
1,american businesses is weakened by non reciprocal partners and tariffs are needed,campaign style messaging supporting protectionist economics,12,25,0,4,3.0,trump_tariff_speech
2,our domestic producers has been cheated by non reciprocal partners and tariffs will rebalance trade,campaign style messaging supporting protectionist economics,15,25,2,9,5.5,trump_tariff_speech
3,the american market has been treated unfairly by foreign nations and tariffs will protect jobs,economic populism linking job losses to foreign trade behavior,15,25,1,6,4.0,trump_tariff_speech
4,the united states suffers losses from export heavy countries and tariffs will rebalance trade,nationalistic economic framing that blames foreign actors and promotes tariffs,14,25,2,9,5.5,trump_tariff_speech
5,american workers suffers losses from overseas economies and tariffs will bring leverage,simplified economic argument suggesting tariffs will fix trade deficits,12,25,0,3,2.5,trump_tariff_speech
6,the united states is exploited by global competitors and tariffs must be imposed,emotive trade discourse favoring unilateral tariff actions,13,25,2,9,5.5,trump_tariff_speech
7,our manufacturing base loses billions to global competitors and tariffs will protect jobs,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,0,3,2.5,trump_tariff_speech
8,us companies loses billions to state backed competitors and tariffs will rebalance trade,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,2,9,5.5,trump_tariff_speech
9,american businesses gets the short end from foreign nations and tariffs will bring leverage,simplified economic argument suggesting tariffs will fix trade deficits,14,25,1,6,4.0,trump_tariff_speech
10,american businesses has been cheated by unfair trade partners and tariffs will correct the imbalance,political messaging emphasizing america first trade ideology,15,25,0,3,2.5,trump_tariff_speech
11,our manufacturing base gets the short end from export heavy countries and tariffs are needed,economic populism linking job losses to foreign trade behavior,15,25,0,3,2.5,trump_tariff_speech
12,us companies is weakened by certain trading nations and tariffs must be imposed,political messaging emphasizing america first trade ideology,13,25,0,3,2.5,trump_tariff_speech
13,american businesses is weakened by overseas economies and strong tariffs are required,policy simplification that elevates tariffs as primary solution,12,25,2,8,5.0,trump_tariff_speech
14,our trade system loses billions to foreign nations and strong tariffs are required,campaign style messaging supporting protectionist economics,13,25,2,8,5.0,trump_tariff_speech
15,the american market loses billions to overseas economies and tariffs will bring leverage,campaign style messaging supporting protectionist economics,13,25,0,3,2.5,trump_tariff_speech
16,american factories gets the short end from global competitors and tariffs must be imposed,assertive trade narrative framing tariffs as defensive tools,14,25,1,6,4.0,trump_tariff_speech
17,american businesses faces imbalance with state backed competitors and tariffs are the answer,rhetorical justification for protectionist tariff policy,13,25,0,3,2.5,trump_tariff_speech
18,america faces imbalance with other countries and tariffs will rebalance trade,economic populism linking job losses to foreign trade behavior,11,25,0,3,2.5,trump_tariff_speech
19,our trade system is exploited by aggressive exporters and tariffs will bring leverage,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,1,6,4.0,trump_tariff_speech
20,our manufacturing base faces imbalance with export heavy countries and tariffs are needed,economic populism linking job losses to foreign trade behavior,13,25,0,3,2.5,trump_tariff_speech
21,us companies is taken advantage of by global competitors and tariffs will rebalance trade,rhetorical justification for protectionist tariff policy,14,25,0,4,3.0,trump_tariff_speech
