id,cleaned_text,token_length,padding_length,label,harm_index,sample_weight,category
1,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
2,only elderly get covid,4,20,1,6,4.0,demographic_myth
3,5g towers spread covid,4,20,2,9,5.5,technology_myth
4,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
5,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
6,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
7,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
8,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
9,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
10,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
11,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
12,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
13,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
14,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
15,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
16,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
17,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
18,5g towers spread covid,4,20,2,9,5.5,technology_myth
19,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
20,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
21,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
22,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
23,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
24,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
25,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
26,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
27,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
28,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
29,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
30,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
31,only elderly get covid,4,20,1,6,4.0,demographic_myth
32,only elderly get covid,4,20,1,6,4.0,demographic_myth
33,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
34,5g towers spread covid,4,20,2,9,5.5,technology_myth
35,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
36,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
37,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
38,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
39,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
40,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
41,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
42,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
43,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
44,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
45,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
46,5g towers spread covid,4,20,2,9,5.5,technology_myth
47,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
48,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
49,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
50,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
51,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
52,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
53,5g towers spread covid,4,20,2,9,5.5,technology_myth
54,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
55,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
56,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
57,only elderly get covid,4,20,1,6,4.0,demographic_myth
58,only elderly get covid,4,20,1,6,4.0,demographic_myth
59,covid was created to reduce population,6,20,2,10,6.0,conspiracy
60,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
61,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
62,5g towers spread covid,4,20,2,9,5.5,technology_myth
63,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
64,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
65,5g towers spread covid,4,20,2,9,5.5,technology_myth
66,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
67,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
68,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
69,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
70,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
71,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
72,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
73,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
74,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
75,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
76,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
77,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
78,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
79,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
80,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
81,5g towers spread covid,4,20,2,9,5.5,technology_myth
82,covid was created to reduce population,6,20,2,10,6.0,conspiracy
83,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
84,5g towers spread covid,4,20,2,9,5.5,technology_myth
85,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
86,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
87,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
88,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
89,5g towers spread covid,4,20,2,9,5.5,technology_myth
90,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
91,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
92,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
93,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
94,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
95,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
96,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
97,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
98,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
99,only elderly get covid,4,20,1,6,4.0,demographic_myth
100,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
101,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
102,only elderly get covid,4,20,1,6,4.0,demographic_myth
103,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
104,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
105,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
106,only elderly get covid,4,20,1,6,4.0,demographic_myth
107,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
108,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
109,only elderly get covid,4,20,1,6,4.0,demographic_myth
110,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
111,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
112,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
113,only elderly get covid,4,20,1,6,4.0,demographic_myth
114,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
115,covid was created to reduce population,6,20,2,10,6.0,conspiracy
116,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
117,only elderly get covid,4,20,1,6,4.0,demographic_myth
118,covid was created to reduce population,6,20,2,10,6.0,conspiracy
119,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
120,5g towers spread covid,4,20,2,9,5.5,technology_myth
121,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
122,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
123,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
124,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
125,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
126,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
127,5g towers spread covid,4,20,2,9,5.5,technology_myth
128,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
129,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
130,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
131,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
